epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8102,1.89835,2.3841,1.1716,0.88821,0.31423,0.41698,0.21895,1.63855,1.89281,1.12674,0.00047208,0.00047208,0.00047208
2,46.632,1.67229,1.41701,1.10582,0.86264,0.41622,0.45624,0.23664,1.60562,1.33885,1.14309,0.000945284,0.000945284,0.000945284
3,67.9332,1.64716,1.26628,1.10137,0.86823,0.41731,0.48053,0.25957,1.57134,1.06145,1.11618,0.00141534,0.00141534,0.00141534
4,89.1556,1.61565,1.11154,1.09072,0.86206,0.44808,0.48086,0.24029,1.66235,1.10669,1.14507,0.00141485,0.00141485,0.00141485
5,110.363,1.59868,1.04052,1.07539,0.86874,0.43576,0.48421,0.26441,1.58864,1.12507,1.14143,0.00141014,0.00141014,0.00141014
6,131.633,1.58463,1.00692,1.07574,0.88002,0.45739,0.5744,0.32021,1.54083,0.93046,1.11387,0.00140542,0.00140542,0.00140542
7,153.059,1.56913,0.96798,1.07292,0.89144,0.46173,0.55161,0.28855,1.53552,0.91936,1.11159,0.00140071,0.00140071,0.00140071
8,174.574,1.53862,0.93724,1.05648,0.83436,0.54519,0.63544,0.33692,1.55787,0.94792,1.09881,0.00139599,0.00139599,0.00139599
9,196.194,1.54127,0.90097,1.06597,0.64923,0.56487,0.59561,0.31593,1.50182,0.90452,1.09545,0.00139127,0.00139127,0.00139127
10,217.698,1.5226,0.88525,1.05735,0.62223,0.5633,0.587,0.31984,1.52412,0.90717,1.10545,0.00138656,0.00138656,0.00138656
11,239.3,1.51282,0.89071,1.05638,0.73685,0.6159,0.67311,0.37615,1.50875,0.85292,1.09297,0.00138184,0.00138184,0.00138184
12,261.023,1.51496,0.8619,1.05659,0.74227,0.62839,0.67191,0.38445,1.4827,0.81475,1.07877,0.00137713,0.00137713,0.00137713
13,282.859,1.4836,0.845,1.03853,0.73788,0.64668,0.67887,0.39177,1.4772,0.82099,1.08055,0.00137241,0.00137241,0.00137241
14,304.74,1.49312,0.85204,1.04351,0.71227,0.54847,0.60942,0.3406,1.4792,0.84349,1.06659,0.0013677,0.0013677,0.0013677
15,326.682,1.46914,0.83909,1.03932,0.74472,0.61472,0.67727,0.37627,1.45852,0.82921,1.07325,0.00136298,0.00136298,0.00136298
16,348.64,1.47977,0.82293,1.04115,0.76503,0.61804,0.69709,0.38738,1.47898,0.85289,1.09173,0.00135826,0.00135826,0.00135826
17,370.453,1.46018,0.80438,1.03403,0.82237,0.59277,0.67415,0.37529,1.46764,0.81316,1.07552,0.00135355,0.00135355,0.00135355
18,392.185,1.44594,0.80779,1.03571,0.80038,0.57898,0.68419,0.39542,1.46075,0.8205,1.07267,0.00134883,0.00134883,0.00134883
19,414.057,1.46704,0.81111,1.03658,0.85282,0.5873,0.69223,0.39602,1.46615,0.79348,1.07981,0.00134412,0.00134412,0.00134412
20,435.844,1.43685,0.80132,1.02973,0.85374,0.62955,0.69824,0.41433,1.48087,0.7927,1.08037,0.0013394,0.0013394,0.0013394
21,457.621,1.45817,0.79715,1.03288,0.87175,0.55243,0.66833,0.38277,1.46599,0.80628,1.07468,0.00133469,0.00133469,0.00133469
22,479.552,1.43944,0.78889,1.02653,0.76209,0.59735,0.65011,0.37443,1.45559,0.77585,1.07401,0.00132997,0.00132997,0.00132997
23,501.287,1.43646,0.78335,1.02735,0.88315,0.64945,0.70278,0.4211,1.42505,0.77953,1.06773,0.00132525,0.00132525,0.00132525
24,523.054,1.43749,0.77533,1.02987,0.79149,0.65391,0.69518,0.38562,1.45283,0.7804,1.07116,0.00132054,0.00132054,0.00132054
25,544.804,1.42939,0.77691,1.02469,0.72714,0.63428,0.67694,0.40552,1.44102,0.79212,1.06872,0.00131582,0.00131582,0.00131582
26,566.564,1.42883,0.78337,1.02045,0.7737,0.61268,0.67987,0.40045,1.42519,0.76965,1.05502,0.00131111,0.00131111,0.00131111
27,588.354,1.43394,0.77825,1.02642,0.71493,0.72403,0.71707,0.4084,1.44889,0.80311,1.08129,0.00130639,0.00130639,0.00130639
28,610.164,1.44598,0.78437,1.03312,0.7318,0.63247,0.65857,0.37864,1.41282,0.75872,1.05757,0.00130168,0.00130168,0.00130168
29,632.109,1.41134,0.75592,1.01888,0.69718,0.69132,0.68455,0.40345,1.42878,0.77506,1.06232,0.00129696,0.00129696,0.00129696
30,654.095,1.40837,0.75371,1.01903,0.90987,0.60761,0.70438,0.38866,1.46,0.79299,1.07038,0.00129224,0.00129224,0.00129224
31,675.993,1.41532,0.78042,1.02103,0.85646,0.60777,0.71653,0.41691,1.42387,0.76646,1.05667,0.00128753,0.00128753,0.00128753
32,697.783,1.4043,0.76276,1.02439,0.82451,0.63338,0.71481,0.42778,1.41454,0.7697,1.0595,0.00128281,0.00128281,0.00128281
33,719.531,1.41206,0.76263,1.02113,0.81764,0.67281,0.72961,0.43874,1.41947,0.75477,1.06413,0.0012781,0.0012781,0.0012781
34,741.324,1.3986,0.75311,1.0211,0.84618,0.6512,0.73754,0.45057,1.41201,0.74457,1.05278,0.00127338,0.00127338,0.00127338
35,763.148,1.39264,0.74073,1.01119,0.8758,0.56681,0.65443,0.39003,1.41114,0.85935,1.05753,0.00126867,0.00126867,0.00126867
36,784.948,1.41515,0.75261,1.02039,0.83787,0.61995,0.72477,0.4293,1.39532,0.75242,1.05441,0.00126395,0.00126395,0.00126395
37,806.789,1.39851,0.7615,1.0152,0.58356,0.5836,0.59546,0.33702,1.41369,1.57816,1.0585,0.00125923,0.00125923,0.00125923
38,828.592,1.39655,0.75389,1.02419,0.77563,0.70031,0.73872,0.44322,1.39337,0.74225,1.05438,0.00125452,0.00125452,0.00125452
39,850.404,1.39234,0.75178,1.00935,0.75951,0.63292,0.71734,0.42093,1.40747,0.74226,1.05158,0.0012498,0.0012498,0.0012498
40,872.233,1.37788,0.73383,1.01377,0.8281,0.60527,0.68983,0.3926,1.42375,0.76676,1.06483,0.00124509,0.00124509,0.00124509
41,894.086,1.38396,0.74191,1.006,0.88178,0.60395,0.69553,0.40448,1.40941,0.7668,1.0543,0.00124037,0.00124037,0.00124037
42,915.9,1.38526,0.73579,1.01043,0.81911,0.63383,0.70624,0.41743,1.42062,0.73895,1.05521,0.00123566,0.00123566,0.00123566
43,937.861,1.36133,0.72787,0.99891,0.83987,0.60789,0.71117,0.41298,1.40084,0.73343,1.05505,0.00123094,0.00123094,0.00123094
44,959.658,1.3625,0.73062,1.00856,0.77848,0.70422,0.73919,0.45241,1.41519,0.72759,1.05926,0.00122622,0.00122622,0.00122622
45,981.419,1.38565,0.73555,1.0139,0.86599,0.63125,0.7422,0.43693,1.40583,0.74162,1.05292,0.00122151,0.00122151,0.00122151
46,1003.17,1.37722,0.73636,1.01077,0.87834,0.61403,0.72048,0.43078,1.39416,0.72972,1.05163,0.00121679,0.00121679,0.00121679
47,1024.98,1.36527,0.72525,1.00578,0.78127,0.68553,0.73321,0.45234,1.38395,0.72549,1.04487,0.00121208,0.00121208,0.00121208
48,1046.7,1.35699,0.71984,1.00787,0.6911,0.66026,0.71757,0.41339,1.38966,0.73244,1.0458,0.00120736,0.00120736,0.00120736
49,1068.48,1.36605,0.72036,1.00097,0.76797,0.71599,0.75624,0.45099,1.39793,0.72738,1.05329,0.00120265,0.00120265,0.00120265
