epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6155,1.73726,1.88539,1.15018,0.47771,0.41744,0.44886,0.22492,1.65813,1.14654,1.14038,0.00047208,0.00047208,0.00047208
2,71.391,1.59741,1.01483,1.08201,0.70375,0.48704,0.50442,0.26943,1.59033,1.18483,1.1559,0.000945284,0.000945284,0.000945284
3,106.954,1.60608,0.98732,1.08581,0.73551,0.57177,0.60902,0.31636,1.52755,1.03628,1.10881,0.00141534,0.00141534,0.00141534
4,144.753,1.56466,0.92998,1.07122,0.69891,0.55856,0.59782,0.31604,1.57234,0.94535,1.12227,0.00141485,0.00141485,0.00141485
5,180.919,1.55952,0.90453,1.06374,0.64294,0.59456,0.64073,0.3343,1.54107,0.93904,1.10815,0.00141014,0.00141014,0.00141014
6,217.587,1.54994,0.89781,1.06568,0.86834,0.46452,0.54427,0.29042,1.58834,0.9302,1.11463,0.00140542,0.00140542,0.00140542
7,254.25,1.53182,0.86632,1.05802,0.84064,0.63639,0.70073,0.37041,1.51728,0.84242,1.08695,0.00140071,0.00140071,0.00140071
8,290.735,1.49241,0.84788,1.03818,0.63175,0.66844,0.67519,0.34552,1.52313,0.87641,1.09261,0.00139599,0.00139599,0.00139599
9,327.385,1.50818,0.83398,1.05188,0.90019,0.55351,0.68196,0.35963,1.49594,0.81828,1.078,0.00139127,0.00139127,0.00139127
10,363.76,1.48301,0.81644,1.04684,0.89297,0.57584,0.67521,0.37388,1.49069,0.83018,1.08184,0.00138656,0.00138656,0.00138656
11,400.234,1.47445,0.82786,1.0419,0.76156,0.59045,0.67241,0.39397,1.45361,0.83585,1.06918,0.00138184,0.00138184,0.00138184
12,436.952,1.47731,0.81362,1.03951,0.82572,0.63028,0.70886,0.40787,1.45832,0.8096,1.06949,0.00137713,0.00137713,0.00137713
13,473.457,1.44136,0.77629,1.0253,0.77191,0.56951,0.66574,0.36789,1.45468,0.80764,1.05656,0.00137241,0.00137241,0.00137241
14,509.909,1.44634,0.78987,1.02508,0.75527,0.71474,0.74382,0.40371,1.45768,0.80005,1.0665,0.0013677,0.0013677,0.0013677
15,546.328,1.43219,0.78177,1.0265,0.85188,0.62896,0.70447,0.39892,1.41859,0.77324,1.05827,0.00136298,0.00136298,0.00136298
16,582.749,1.43986,0.7826,1.02501,0.85936,0.66235,0.7597,0.42962,1.47595,0.80137,1.07753,0.00135826,0.00135826,0.00135826
17,619.266,1.42371,0.76589,1.01896,0.76787,0.72339,0.78138,0.44115,1.43382,0.76206,1.05743,0.00135355,0.00135355,0.00135355
18,655.796,1.41827,0.76395,1.02089,0.8001,0.69297,0.75412,0.42359,1.42777,0.75314,1.0574,0.00134883,0.00134883,0.00134883
19,692.286,1.4276,0.76285,1.02046,0.85378,0.69856,0.76068,0.43499,1.44767,0.76113,1.05944,0.00134412,0.00134412,0.00134412
20,728.678,1.39871,0.7547,1.01243,0.86251,0.68876,0.75689,0.44624,1.43823,0.72989,1.05724,0.0013394,0.0013394,0.0013394
21,765.257,1.41062,0.75142,1.01346,0.78346,0.69183,0.76525,0.45571,1.43414,0.75118,1.0745,0.00133469,0.00133469,0.00133469
22,801.91,1.40119,0.74251,1.01126,0.81026,0.70593,0.77119,0.42285,1.44524,0.74216,1.05324,0.00132997,0.00132997,0.00132997
23,838.445,1.40693,0.73768,1.01114,0.81951,0.70929,0.78418,0.45392,1.40336,0.72356,1.04811,0.00132525,0.00132525,0.00132525
24,874.893,1.39531,0.72524,1.01196,0.91281,0.64006,0.74221,0.4251,1.41531,0.72558,1.05781,0.00132054,0.00132054,0.00132054
25,911.384,1.39711,0.72855,1.01085,0.83589,0.67321,0.76926,0.45563,1.4248,0.74327,1.04627,0.00131582,0.00131582,0.00131582
26,947.91,1.38426,0.73422,1.00459,0.8135,0.72549,0.77052,0.43786,1.40598,0.71818,1.04393,0.00131111,0.00131111,0.00131111
27,984.38,1.39429,0.72937,1.00826,0.79963,0.71567,0.76188,0.44438,1.42927,0.73067,1.0531,0.00130639,0.00130639,0.00130639
28,1020.89,1.40577,0.73275,1.01388,0.82078,0.6965,0.77717,0.45547,1.40317,0.73196,1.04486,0.00130168,0.00130168,0.00130168
29,1057.39,1.36792,0.71358,1.00258,0.73216,0.63094,0.70467,0.39849,1.40563,0.73787,1.04778,0.00129696,0.00129696,0.00129696
30,1093.88,1.36386,0.70866,1.00161,0.89149,0.69424,0.79372,0.47143,1.41482,0.71554,1.04826,0.00129224,0.00129224,0.00129224
31,1130.41,1.36724,0.73595,1.00175,0.90879,0.65329,0.76675,0.4659,1.39059,0.70751,1.0396,0.00128753,0.00128753,0.00128753
32,1166.93,1.35403,0.7149,1.00184,0.85385,0.7127,0.7935,0.46428,1.3961,0.70084,1.04571,0.00128281,0.00128281,0.00128281
33,1203.27,1.36804,0.71903,1.0031,0.81295,0.70756,0.77199,0.46153,1.38318,0.73259,1.04181,0.0012781,0.0012781,0.0012781
34,1239.73,1.36215,0.70862,1.00256,0.83675,0.75815,0.8114,0.47961,1.39437,0.70725,1.04206,0.00127338,0.00127338,0.00127338
35,1276.39,1.35099,0.70491,0.99258,0.7809,0.72579,0.78912,0.47569,1.38677,0.70456,1.03806,0.00126867,0.00126867,0.00126867
36,1312.63,1.37105,0.70916,1.0018,0.88208,0.7152,0.81189,0.50165,1.38956,0.69277,1.04449,0.00126395,0.00126395,0.00126395
37,1349.14,1.36148,0.71531,1.00015,0.81222,0.74843,0.79494,0.47344,1.3936,0.69862,1.03926,0.00125923,0.00125923,0.00125923
38,1385.6,1.35737,0.70832,1.00214,0.81829,0.71908,0.80996,0.48051,1.3995,0.69483,1.04031,0.00125452,0.00125452,0.00125452
39,1421.96,1.34075,0.70852,0.98966,0.87525,0.74415,0.8094,0.49093,1.41113,0.72056,1.04852,0.0012498,0.0012498,0.0012498
40,1458.3,1.33494,0.69227,0.9939,0.9005,0.63963,0.77675,0.45772,1.3951,0.69224,1.04517,0.00124509,0.00124509,0.00124509
41,1494.82,1.3451,0.6961,0.98778,0.82095,0.67369,0.7643,0.44628,1.38494,0.69751,1.03829,0.00124037,0.00124037,0.00124037
42,1531.31,1.33452,0.69028,0.99067,0.79478,0.70416,0.75494,0.44455,1.38675,0.69846,1.04011,0.00123566,0.00123566,0.00123566
43,1567.8,1.30556,0.67896,0.97942,0.8297,0.73984,0.81755,0.49057,1.37771,0.67963,1.03795,0.00123094,0.00123094,0.00123094
44,1604.22,1.3171,0.68443,0.98767,0.76963,0.76711,0.78299,0.47943,1.37877,0.67801,1.04143,0.00122622,0.00122622,0.00122622
45,1640.75,1.34025,0.68981,0.99388,0.83758,0.73875,0.81353,0.49587,1.37383,0.67465,1.03759,0.00122151,0.00122151,0.00122151
46,1677.18,1.32902,0.68515,0.99159,0.83064,0.76682,0.78729,0.47267,1.37909,0.70068,1.03721,0.00121679,0.00121679,0.00121679
47,1713.61,1.31966,0.68559,0.98513,0.74515,0.73,0.78965,0.45873,1.36983,0.69881,1.03591,0.00121208,0.00121208,0.00121208
48,1749.99,1.304,0.6767,0.9821,0.87579,0.75575,0.815,0.49473,1.37314,0.67171,1.02768,0.00120736,0.00120736,0.00120736
49,1786.39,1.32198,0.6767,0.98238,0.79986,0.68963,0.77321,0.44568,1.45307,0.73818,1.06041,0.00120265,0.00120265,0.00120265
50,1822.89,1.3247,0.6801,0.98814,0.8615,0.70357,0.77733,0.47761,1.3802,0.6736,1.035,0.00119793,0.00119793,0.00119793
51,1859.36,1.31726,0.6815,0.9889,0.86934,0.67104,0.75781,0.45035,1.39205,0.69487,1.0431,0.00119322,0.00119322,0.00119322
52,1895.85,1.33065,0.67505,0.98388,0.82584,0.72493,0.78414,0.45521,1.41012,0.69973,1.05001,0.0011885,0.0011885,0.0011885
53,1932.19,1.31715,0.67529,0.98541,0.91073,0.68898,0.80741,0.4998,1.37737,0.68371,1.03794,0.00118378,0.00118378,0.00118378
54,1968.71,1.3024,0.6616,0.97788,0.88488,0.71942,0.79883,0.47946,1.37299,0.67265,1.03672,0.00117907,0.00117907,0.00117907
55,2005.08,1.3063,0.65875,0.97698,0.87472,0.72034,0.79136,0.46449,1.37851,0.68794,1.03776,0.00117435,0.00117435,0.00117435
56,2041.5,1.29884,0.67064,0.97912,0.86641,0.73412,0.79928,0.48354,1.38142,0.68949,1.0389,0.00116964,0.00116964,0.00116964
57,2078.03,1.2931,0.6652,0.97828,0.8714,0.70772,0.79234,0.47637,1.36907,0.67624,1.03487,0.00116492,0.00116492,0.00116492
58,2114.68,1.32123,0.67236,0.98191,0.90721,0.67472,0.80044,0.48676,1.36008,0.66567,1.03246,0.00116021,0.00116021,0.00116021
59,2151.23,1.30705,0.66064,0.98415,0.89432,0.68453,0.78637,0.48135,1.37635,0.68393,1.03782,0.00115549,0.00115549,0.00115549
60,2189.06,1.30492,0.67025,0.98176,0.886,0.77015,0.84649,0.51775,1.37983,0.67436,1.03999,0.00115077,0.00115077,0.00115077
61,2225.61,1.28816,0.65305,0.97584,0.90169,0.74073,0.8284,0.50393,1.37171,0.66147,1.04427,0.00114606,0.00114606,0.00114606
62,2261.89,1.29115,0.65122,0.97399,0.91238,0.75383,0.8463,0.527,1.37472,0.65204,1.03272,0.00114134,0.00114134,0.00114134
63,2298.49,1.28241,0.65496,0.9694,0.91897,0.69126,0.8054,0.4773,1.36768,0.6598,1.03695,0.00113663,0.00113663,0.00113663
64,2334.79,1.27275,0.65375,0.97393,0.89234,0.69823,0.82191,0.48745,1.37587,0.6617,1.0337,0.00113191,0.00113191,0.00113191
65,2371.2,1.28897,0.65272,0.97855,0.87254,0.72636,0.80929,0.48617,1.37737,0.68738,1.03298,0.0011272,0.0011272,0.0011272
66,2407.73,1.28482,0.66494,0.9783,0.88843,0.69271,0.83163,0.49842,1.36513,0.66283,1.03346,0.00112248,0.00112248,0.00112248
67,2444.15,1.29756,0.65159,0.97242,0.89322,0.76302,0.84061,0.51018,1.3702,0.65801,1.03231,0.00111776,0.00111776,0.00111776
68,2480.62,1.26446,0.63686,0.96712,0.86248,0.75311,0.81087,0.50423,1.36615,0.66354,1.0357,0.00111305,0.00111305,0.00111305
69,2517.1,1.27419,0.64101,0.9678,0.88037,0.68056,0.81466,0.49832,1.37132,0.66543,1.03465,0.00110833,0.00110833,0.00110833
70,2553.58,1.2881,0.65977,0.97615,0.80028,0.7419,0.80226,0.49866,1.38718,0.68355,1.03594,0.00110362,0.00110362,0.00110362
71,2590.03,1.27023,0.64868,0.96697,0.87023,0.77095,0.81933,0.49738,1.38766,0.69201,1.04506,0.0010989,0.0010989,0.0010989
72,2626.47,1.2688,0.65159,0.96812,0.84358,0.7083,0.79524,0.5039,1.36845,0.65118,1.03119,0.00109419,0.00109419,0.00109419
73,2663,1.26056,0.63904,0.96647,0.834,0.78104,0.82102,0.50479,1.37593,0.65246,1.03311,0.00108947,0.00108947,0.00108947
74,2699.55,1.28346,0.64901,0.97123,0.82603,0.70315,0.79493,0.48677,1.37521,0.6733,1.02892,0.00108475,0.00108475,0.00108475
75,2736.04,1.26894,0.64275,0.96424,0.87939,0.72025,0.80381,0.49461,1.39318,0.65014,1.03962,0.00108004,0.00108004,0.00108004
76,2772.54,1.26371,0.63049,0.96807,0.92156,0.73922,0.82626,0.50128,1.36279,0.64622,1.02622,0.00107532,0.00107532,0.00107532
77,2809.13,1.26523,0.63424,0.96549,0.83901,0.74719,0.83275,0.51017,1.37594,0.66094,1.03778,0.00107061,0.00107061,0.00107061
78,2845.62,1.27111,0.64465,0.97034,0.85264,0.80247,0.83439,0.51332,1.36594,0.65033,1.02858,0.00106589,0.00106589,0.00106589
79,2882.31,1.27751,0.63948,0.96882,0.85367,0.77603,0.82526,0.50925,1.36672,0.65576,1.03066,0.00106118,0.00106118,0.00106118
80,2918.83,1.26973,0.63987,0.96724,0.88986,0.7537,0.82723,0.51385,1.36102,0.64427,1.03309,0.00105646,0.00105646,0.00105646
81,2955.33,1.25561,0.63804,0.96527,0.82716,0.78771,0.82627,0.51699,1.3729,0.65314,1.03756,0.00105174,0.00105174,0.00105174
82,2991.95,1.2469,0.63118,0.95777,0.90279,0.7397,0.82209,0.50182,1.38226,0.66227,1.03523,0.00104703,0.00104703,0.00104703
83,3028.53,1.24203,0.62539,0.96518,0.8426,0.72559,0.81202,0.48785,1.36851,0.65564,1.03823,0.00104231,0.00104231,0.00104231
84,3065.15,1.2652,0.63154,0.96322,0.83755,0.7637,0.81086,0.49132,1.38172,0.65685,1.04164,0.0010376,0.0010376,0.0010376
85,3101.83,1.24625,0.63416,0.96311,0.94405,0.71791,0.83443,0.5118,1.37815,0.65077,1.03273,0.00103288,0.00103288,0.00103288
86,3138.33,1.26333,0.63118,0.96711,0.87029,0.73369,0.83348,0.52424,1.37379,0.6523,1.03188,0.00102817,0.00102817,0.00102817
87,3174.85,1.24896,0.63134,0.96035,0.89559,0.72539,0.83105,0.50828,1.36229,0.65749,1.03012,0.00102345,0.00102345,0.00102345
88,3211.59,1.23834,0.61728,0.95784,0.89309,0.75162,0.84928,0.52119,1.37258,0.64891,1.03549,0.00101873,0.00101873,0.00101873
89,3248.23,1.24997,0.62784,0.9612,0.93228,0.72773,0.82115,0.49759,1.38543,0.65708,1.03498,0.00101402,0.00101402,0.00101402
90,3284.69,1.2464,0.61695,0.95862,0.86648,0.74033,0.81658,0.4905,1.36027,0.64854,1.03033,0.0010093,0.0010093,0.0010093
91,3321.31,1.2459,0.6294,0.95794,0.88099,0.74521,0.83338,0.51195,1.39019,0.63752,1.03404,0.00100459,0.00100459,0.00100459
92,3357.78,1.23243,0.62005,0.95669,0.88176,0.75363,0.82788,0.51287,1.36181,0.63039,1.02374,0.000999871,0.000999871,0.000999871
93,3394.29,1.23201,0.61791,0.95624,0.86087,0.76863,0.82684,0.50469,1.38059,0.64803,1.03555,0.000995156,0.000995156,0.000995156
94,3431.1,1.22716,0.61117,0.95038,0.87924,0.77553,0.83825,0.52438,1.36087,0.64893,1.02971,0.00099044,0.00099044,0.00099044
95,3467.6,1.23926,0.6074,0.95442,0.88891,0.72919,0.80955,0.49503,1.36083,0.64281,1.0296,0.000985724,0.000985724,0.000985724
96,3504.1,1.23393,0.61574,0.9566,0.90269,0.74073,0.80576,0.48966,1.37668,0.64837,1.03256,0.000981008,0.000981008,0.000981008
97,3540.84,1.25476,0.62548,0.95708,0.81323,0.8077,0.83799,0.51942,1.36876,0.64165,1.03193,0.000976293,0.000976293,0.000976293
98,3577.42,1.23125,0.61292,0.95488,0.85559,0.74081,0.80103,0.4888,1.39281,0.6599,1.03877,0.000971577,0.000971577,0.000971577
99,3613.9,1.2227,0.62148,0.95027,0.86359,0.7574,0.81182,0.4941,1.36674,0.64921,1.03143,0.000966861,0.000966861,0.000966861
100,3650.55,1.24188,0.62375,0.95622,0.89293,0.71134,0.80474,0.49034,1.38539,0.65697,1.04134,0.000962146,0.000962146,0.000962146
101,3687.16,1.22007,0.60932,0.95607,0.84575,0.73272,0.81896,0.49117,1.38474,0.64686,1.04563,0.00095743,0.00095743,0.00095743
102,3723.65,1.22568,0.60466,0.95713,0.84571,0.76979,0.82787,0.50567,1.36923,0.63493,1.03429,0.000952714,0.000952714,0.000952714
103,3760.02,1.21565,0.61361,0.9541,0.8704,0.76079,0.82387,0.50316,1.37839,0.65019,1.03982,0.000947999,0.000947999,0.000947999
104,3796.5,1.2208,0.6032,0.9486,0.86419,0.75684,0.82851,0.50818,1.35967,0.65363,1.0339,0.000943283,0.000943283,0.000943283
105,3832.94,1.21716,0.60581,0.95551,0.85651,0.73151,0.81569,0.50052,1.38014,0.64802,1.04017,0.000938567,0.000938567,0.000938567
106,3869.58,1.21446,0.60034,0.94997,0.82086,0.77698,0.82176,0.51592,1.38546,0.62952,1.03761,0.000933851,0.000933851,0.000933851
107,3906.29,1.21868,0.60572,0.95528,0.86858,0.75846,0.81559,0.49941,1.37366,0.64208,1.03865,0.000929136,0.000929136,0.000929136
108,3942.76,1.22482,0.60177,0.95364,0.91312,0.70583,0.81379,0.50151,1.36616,0.6413,1.03199,0.00092442,0.00092442,0.00092442
109,3979.27,1.20794,0.60234,0.95125,0.7878,0.76897,0.8054,0.49741,1.36814,0.63908,1.02994,0.000919704,0.000919704,0.000919704
110,4015.88,1.20324,0.59842,0.94593,0.79621,0.81144,0.84011,0.52416,1.36305,0.64136,1.03753,0.000914989,0.000914989,0.000914989
111,4052.43,1.2083,0.59995,0.94991,0.85558,0.76679,0.83449,0.52714,1.36866,0.64751,1.03609,0.000910273,0.000910273,0.000910273
112,4089.15,1.18144,0.59107,0.94333,0.93233,0.68893,0.81948,0.51604,1.36335,0.64973,1.03243,0.000905557,0.000905557,0.000905557
113,4125.81,1.21432,0.59997,0.95191,0.91173,0.731,0.81919,0.50635,1.36651,0.64299,1.03073,0.000900842,0.000900842,0.000900842
114,4162.27,1.217,0.60156,0.94696,0.90556,0.74045,0.8216,0.50633,1.38632,0.6401,1.04094,0.000896126,0.000896126,0.000896126
115,4198.82,1.19866,0.59433,0.94073,0.91572,0.71774,0.81238,0.50645,1.38203,0.64557,1.03721,0.00089141,0.00089141,0.00089141
116,4235.33,1.19714,0.59291,0.94187,0.80094,0.78094,0.82046,0.52302,1.37682,0.64692,1.03248,0.000886694,0.000886694,0.000886694
117,4272,1.19251,0.59177,0.94252,0.85882,0.77402,0.82533,0.5188,1.37828,0.64093,1.04038,0.000881979,0.000881979,0.000881979
118,4308.55,1.19738,0.58816,0.9474,0.93007,0.70156,0.82388,0.5078,1.39581,0.65539,1.04651,0.000877263,0.000877263,0.000877263
119,4345.06,1.20574,0.59286,0.9457,0.89885,0.74505,0.81707,0.50178,1.3794,0.63755,1.03814,0.000872547,0.000872547,0.000872547
120,4382.82,1.17355,0.57886,0.94103,0.92407,0.72441,0.81619,0.50454,1.39279,0.64225,1.04759,0.000867832,0.000867832,0.000867832
121,4419.21,1.22256,0.6112,0.94995,0.89741,0.74482,0.81512,0.50304,1.38002,0.65112,1.03904,0.000863116,0.000863116,0.000863116
122,4455.78,1.18727,0.59109,0.94076,0.92879,0.72354,0.83231,0.50917,1.37565,0.64115,1.0374,0.0008584,0.0008584,0.0008584
123,4492.27,1.18203,0.58479,0.94373,0.90021,0.7482,0.82438,0.50387,1.36944,0.6326,1.0408,0.000853685,0.000853685,0.000853685
124,4528.83,1.19429,0.59404,0.94563,0.88596,0.70334,0.81497,0.50004,1.39,0.63745,1.04622,0.000848969,0.000848969,0.000848969
125,4565.4,1.20118,0.5937,0.94555,0.81435,0.75115,0.81795,0.4976,1.39092,0.65469,1.0466,0.000844253,0.000844253,0.000844253
126,4601.91,1.19566,0.59247,0.94157,0.90863,0.73688,0.83626,0.50918,1.37905,0.64794,1.04182,0.000839537,0.000839537,0.000839537
127,4638.51,1.1909,0.59728,0.94272,0.90682,0.75891,0.81756,0.50377,1.39291,0.63633,1.04535,0.000834822,0.000834822,0.000834822
128,4674.95,1.19477,0.58598,0.94655,0.90478,0.75893,0.8224,0.49809,1.38994,0.65109,1.04245,0.000830106,0.000830106,0.000830106
129,4711.43,1.19571,0.59465,0.94627,0.92637,0.74181,0.83173,0.52088,1.39391,0.6371,1.04418,0.00082539,0.00082539,0.00082539
130,4748.01,1.18039,0.57813,0.94117,0.85926,0.77632,0.82667,0.51709,1.38451,0.64602,1.04199,0.000820675,0.000820675,0.000820675
131,4784.63,1.18086,0.58447,0.93738,0.91063,0.73874,0.83306,0.53213,1.38866,0.63725,1.04785,0.000815959,0.000815959,0.000815959
132,4821.22,1.19266,0.58368,0.93874,0.86714,0.76129,0.82768,0.52731,1.3903,0.6234,1.04478,0.000811243,0.000811243,0.000811243
133,4857.82,1.18056,0.58503,0.94181,0.84598,0.77418,0.81182,0.50106,1.37424,0.6233,1.04253,0.000806528,0.000806528,0.000806528
134,4894.54,1.17928,0.58321,0.9406,0.87718,0.76773,0.81177,0.4997,1.38641,0.64427,1.05017,0.000801812,0.000801812,0.000801812
135,4931.09,1.16354,0.57632,0.93813,0.86627,0.69923,0.81847,0.51545,1.38301,0.62736,1.04352,0.000797096,0.000797096,0.000797096
136,4967.62,1.17171,0.58032,0.93373,0.88016,0.7643,0.82078,0.50693,1.38735,0.63381,1.05174,0.00079238,0.00079238,0.00079238
