epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8136,1.88259,2.29884,1.16579,0.88373,0.37981,0.46705,0.22868,1.67041,1.77706,1.11602,0.00047208,0.00047208,0.00047208
2,43.0284,1.65441,1.34389,1.08891,0.85407,0.43034,0.46435,0.2459,1.61211,1.12477,1.12572,0.000945284,0.000945284,0.000945284
3,62.9493,1.64803,1.20572,1.08776,0.83361,0.42696,0.48434,0.25691,1.59489,1.14761,1.10978,0.00141534,0.00141534,0.00141534
4,82.7713,1.58704,1.07271,1.06264,0.8708,0.4541,0.58729,0.31347,1.61589,1.04205,1.0968,0.00141485,0.00141485,0.00141485
5,102.707,1.5922,1.01138,1.06226,0.87451,0.45713,0.52381,0.27059,1.5514,1.03565,1.09664,0.00141014,0.00141014,0.00141014
6,122.692,1.57048,0.97294,1.06135,0.89483,0.46482,0.59602,0.30684,1.56172,0.95128,1.09471,0.00140542,0.00140542,0.00140542
7,142.737,1.54649,0.92796,1.05502,0.75243,0.56656,0.63896,0.35889,1.48512,0.85979,1.06275,0.00140071,0.00140071,0.00140071
8,163.101,1.51407,0.90985,1.03682,0.68653,0.49456,0.56549,0.30085,1.56871,1.03151,1.08915,0.00139599,0.00139599,0.00139599
9,183.32,1.526,0.89578,1.04798,0.76115,0.57799,0.63599,0.3488,1.49265,0.84468,1.06345,0.00139127,0.00139127,0.00139127
10,203.469,1.50281,0.85994,1.03923,0.6791,0.57272,0.62492,0.35293,1.46735,0.84838,1.05918,0.00138656,0.00138656,0.00138656
11,223.572,1.49637,0.87548,1.04079,0.68721,0.63596,0.66719,0.35847,1.47838,0.85303,1.06078,0.00138184,0.00138184,0.00138184
12,243.85,1.49502,0.85492,1.03564,0.81713,0.63224,0.69832,0.38022,1.48667,0.81008,1.06722,0.00137713,0.00137713,0.00137713
