epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1946,1.76775,1.73477,1.17402,0.85202,0.44196,0.53723,0.28614,1.5899,1.06331,1.10597,0.00047208,0.00047208,0.00047208
2,66.5896,1.58508,0.98894,1.0847,0.84964,0.50281,0.58861,0.30794,1.59734,1.0556,1.13384,0.000945284,0.000945284,0.000945284
3,99.9234,1.58452,0.96794,1.08656,0.79854,0.53191,0.62084,0.33706,1.54418,0.97952,1.10652,0.00141534,0.00141534,0.00141534
4,135.492,1.53814,0.89834,1.07189,0.71582,0.58784,0.61829,0.32679,1.66694,0.91865,1.15881,0.00141485,0.00141485,0.00141485
5,171.868,1.55314,0.89269,1.06898,0.76499,0.51153,0.66927,0.37318,1.50327,0.85082,1.09971,0.00141014,0.00141014,0.00141014
6,207.254,1.53559,0.88141,1.06515,0.77868,0.62935,0.6724,0.35921,1.51727,0.85654,1.10483,0.00140542,0.00140542,0.00140542
7,243.397,1.51232,0.84864,1.05805,0.74047,0.6441,0.68769,0.37987,1.55143,0.87212,1.11151,0.00140071,0.00140071,0.00140071
8,279.133,1.48577,0.83285,1.04521,0.8885,0.56017,0.68276,0.37712,1.52676,0.81281,1.0963,0.00139599,0.00139599,0.00139599
9,314.995,1.49018,0.81443,1.04687,0.85243,0.55828,0.67752,0.38169,1.45168,0.79267,1.07042,0.00139127,0.00139127,0.00139127
10,350.751,1.46974,0.80168,1.04338,0.83256,0.65133,0.73701,0.3908,1.43236,0.79159,1.06336,0.00138656,0.00138656,0.00138656
11,386.567,1.44093,0.80058,1.03736,0.71062,0.64776,0.67095,0.36923,1.4675,0.786,1.07113,0.00138184,0.00138184,0.00138184
12,422.377,1.45781,0.78892,1.03781,0.81851,0.69133,0.74324,0.41427,1.45903,0.77798,1.07005,0.00137713,0.00137713,0.00137713
13,458.332,1.43583,0.76711,1.02951,0.74505,0.67978,0.72976,0.41287,1.43632,0.76637,1.06127,0.00137241,0.00137241,0.00137241
14,494.056,1.42793,0.77092,1.02698,0.90989,0.58721,0.75812,0.41491,1.47918,0.77123,1.07809,0.0013677,0.0013677,0.0013677
15,530.019,1.41544,0.76402,1.02604,0.87708,0.66502,0.73695,0.43211,1.42899,0.76722,1.06678,0.00136298,0.00136298,0.00136298
16,565.898,1.4239,0.76341,1.02205,0.80207,0.72642,0.76714,0.44858,1.45211,0.763,1.06054,0.00135826,0.00135826,0.00135826
17,601.707,1.40959,0.74131,1.02001,0.86391,0.65715,0.79458,0.46325,1.41604,0.73451,1.06096,0.00135355,0.00135355,0.00135355
18,637.761,1.40272,0.74449,1.0226,0.89979,0.64514,0.80559,0.46826,1.42944,0.761,1.05594,0.00134883,0.00134883,0.00134883
19,673.455,1.41926,0.74748,1.02445,0.76031,0.6414,0.71698,0.40251,1.42765,0.75059,1.06357,0.00134412,0.00134412,0.00134412
20,709.062,1.38137,0.73742,1.01462,0.81116,0.63383,0.71712,0.42713,1.41624,0.73346,1.05058,0.0013394,0.0013394,0.0013394
21,744.879,1.40075,0.73645,1.0146,0.77038,0.67117,0.71755,0.41707,1.40656,0.73477,1.04951,0.00133469,0.00133469,0.00133469
22,780.665,1.37602,0.71946,1.00934,0.83514,0.68378,0.75883,0.44248,1.40697,0.71951,1.05432,0.00132997,0.00132997,0.00132997
23,816.481,1.38195,0.71932,1.00976,0.84468,0.72347,0.779,0.44623,1.40391,0.72101,1.05346,0.00132525,0.00132525,0.00132525
24,852.398,1.37389,0.70661,1.00836,0.87484,0.67778,0.76308,0.44388,1.43715,0.72695,1.06398,0.00132054,0.00132054,0.00132054
25,888.212,1.38108,0.7132,1.01039,0.80384,0.69341,0.76478,0.45429,1.41476,0.70291,1.0559,0.00131582,0.00131582,0.00131582
26,924.037,1.37279,0.71841,1.0051,0.86577,0.70541,0.77472,0.44633,1.40307,0.71739,1.05129,0.00131111,0.00131111,0.00131111
27,959.739,1.3819,0.7108,1.01323,0.83097,0.70798,0.77721,0.46227,1.40721,0.72453,1.06052,0.00130639,0.00130639,0.00130639
28,995.289,1.39032,0.7182,1.01667,0.8302,0.70715,0.75288,0.43812,1.40043,0.71302,1.04945,0.00130168,0.00130168,0.00130168
29,1030.94,1.36802,0.70609,1.00788,0.76653,0.70725,0.75508,0.43407,1.40883,0.71443,1.05376,0.00129696,0.00129696,0.00129696
30,1066.63,1.36566,0.69501,1.00819,0.87845,0.68595,0.76373,0.45669,1.40843,0.71801,1.05618,0.00129224,0.00129224,0.00129224
31,1102.44,1.34982,0.71266,1.00176,0.86626,0.69173,0.80247,0.4796,1.38231,0.70624,1.04532,0.00128753,0.00128753,0.00128753
32,1138.16,1.34188,0.69976,1.00388,0.80509,0.67151,0.75071,0.43236,1.40559,0.71008,1.05677,0.00128281,0.00128281,0.00128281
33,1173.89,1.34933,0.70097,1.00239,0.90712,0.67604,0.78765,0.48585,1.39936,0.70975,1.0598,0.0012781,0.0012781,0.0012781
34,1209.86,1.34542,0.69038,1.00159,0.84832,0.70917,0.76478,0.45471,1.40239,0.71248,1.05403,0.00127338,0.00127338,0.00127338
35,1245.49,1.33662,0.68809,0.99288,0.89894,0.65929,0.74993,0.46637,1.37598,0.70394,1.04459,0.00126867,0.00126867,0.00126867
36,1280.98,1.35758,0.69637,1.00169,0.76728,0.67751,0.76818,0.46671,1.39238,0.70355,1.05798,0.00126395,0.00126395,0.00126395
37,1316.8,1.34921,0.70228,1.0035,0.78528,0.76443,0.79382,0.46277,1.38544,0.6845,1.0522,0.00125923,0.00125923,0.00125923
38,1352.47,1.33527,0.6924,1.0033,0.80171,0.74507,0.80294,0.47816,1.39542,0.71995,1.04994,0.00125452,0.00125452,0.00125452
39,1387.98,1.32698,0.69028,0.99011,0.78127,0.75862,0.79369,0.47211,1.37589,0.69541,1.04449,0.0012498,0.0012498,0.0012498
40,1423.73,1.31775,0.68051,0.99179,0.82731,0.69238,0.78465,0.45812,1.38553,0.69329,1.04614,0.00124509,0.00124509,0.00124509
41,1459.52,1.32334,0.68114,0.98843,0.79085,0.72973,0.79452,0.45514,1.4125,0.69764,1.06007,0.00124037,0.00124037,0.00124037
42,1495.29,1.3291,0.67742,0.9933,0.90086,0.69415,0.80007,0.46062,1.40694,0.69379,1.04793,0.00123566,0.00123566,0.00123566
43,1531.05,1.29483,0.66167,0.97678,0.90163,0.68057,0.78574,0.46696,1.37536,0.68524,1.04096,0.00123094,0.00123094,0.00123094
44,1566.73,1.29994,0.66851,0.98536,0.8198,0.7422,0.78218,0.4699,1.39115,0.6852,1.04818,0.00122622,0.00122622,0.00122622
45,1602.44,1.32783,0.67546,0.99293,0.80465,0.74612,0.80646,0.47439,1.3971,0.69147,1.04562,0.00122151,0.00122151,0.00122151
46,1638.06,1.30817,0.66871,0.98767,0.77748,0.71904,0.76566,0.45464,1.39402,0.68971,1.04605,0.00121679,0.00121679,0.00121679
47,1673.71,1.30625,0.66965,0.98508,0.78652,0.73902,0.79776,0.4755,1.39648,0.68509,1.05243,0.00121208,0.00121208,0.00121208
48,1709.35,1.29222,0.65941,0.98223,0.88699,0.68745,0.80543,0.48112,1.37838,0.68242,1.04586,0.00120736,0.00120736,0.00120736
49,1745.08,1.30784,0.66061,0.98333,0.85085,0.69663,0.79117,0.47196,1.4064,0.69974,1.05132,0.00120265,0.00120265,0.00120265
50,1780.85,1.31761,0.66353,0.98875,0.83179,0.70913,0.79425,0.48034,1.37594,0.67086,1.04357,0.00119793,0.00119793,0.00119793
51,1816.58,1.2915,0.66497,0.9869,0.78292,0.73237,0.78861,0.46561,1.38515,0.67542,1.0457,0.00119322,0.00119322,0.00119322
52,1852.39,1.3213,0.66099,0.984,0.90505,0.71507,0.81725,0.4771,1.37981,0.67727,1.04709,0.0011885,0.0011885,0.0011885
53,1888.01,1.30011,0.65883,0.98527,0.872,0.72819,0.80575,0.50104,1.37134,0.68948,1.03689,0.00118378,0.00118378,0.00118378
54,1923.83,1.28817,0.64939,0.97395,0.8576,0.73653,0.80937,0.49878,1.3689,0.66168,1.04008,0.00117907,0.00117907,0.00117907
55,1959.53,1.29794,0.64731,0.97552,0.88485,0.73141,0.78342,0.47221,1.37406,0.67036,1.03738,0.00117435,0.00117435,0.00117435
56,1995.23,1.29417,0.65824,0.97841,0.81656,0.73147,0.78488,0.47586,1.3809,0.68792,1.0483,0.00116964,0.00116964,0.00116964
57,2030.94,1.2836,0.65454,0.98205,0.80819,0.72733,0.78965,0.4747,1.38766,0.68863,1.05188,0.00116492,0.00116492,0.00116492
58,2066.59,1.30283,0.66125,0.97794,0.86368,0.71,0.80302,0.49122,1.3858,0.67307,1.04542,0.00116021,0.00116021,0.00116021
59,2103.59,1.28738,0.64388,0.97895,0.80183,0.73761,0.78156,0.4756,1.37919,0.67472,1.04385,0.00115549,0.00115549,0.00115549
60,2139.56,1.29245,0.65402,0.97963,0.87159,0.66118,0.79031,0.47826,1.38607,0.68031,1.04866,0.00115077,0.00115077,0.00115077
61,2175.26,1.27055,0.6426,0.97226,0.83252,0.71251,0.7795,0.47237,1.37065,0.6679,1.03692,0.00114606,0.00114606,0.00114606
62,2210.79,1.27451,0.64073,0.97271,0.78812,0.72766,0.78902,0.46927,1.38124,0.67644,1.03732,0.00114134,0.00114134,0.00114134
63,2246.46,1.27013,0.63814,0.96785,0.82806,0.72544,0.77641,0.4728,1.37437,0.67356,1.03968,0.00113663,0.00113663,0.00113663
64,2282.13,1.25902,0.64479,0.97428,0.88552,0.70107,0.81564,0.48836,1.36386,0.67309,1.03713,0.00113191,0.00113191,0.00113191
65,2318.04,1.27238,0.63863,0.97723,0.85478,0.74983,0.80819,0.4929,1.37755,0.67432,1.03965,0.0011272,0.0011272,0.0011272
66,2353.69,1.26523,0.64492,0.97525,0.77772,0.79773,0.82473,0.49832,1.38742,0.67248,1.05269,0.00112248,0.00112248,0.00112248
67,2389.28,1.27994,0.6403,0.97133,0.84883,0.75661,0.8255,0.49636,1.37154,0.66595,1.03972,0.00111776,0.00111776,0.00111776
68,2425.2,1.24696,0.62425,0.96708,0.87322,0.76658,0.85409,0.51767,1.3724,0.66101,1.04009,0.00111305,0.00111305,0.00111305
69,2461.05,1.2641,0.62841,0.96736,0.86571,0.72121,0.81859,0.50205,1.3798,0.66192,1.04001,0.00110833,0.00110833,0.00110833
70,2496.88,1.26963,0.64229,0.97352,0.77966,0.79076,0.80401,0.50348,1.36862,0.65999,1.04274,0.00110362,0.00110362,0.00110362
71,2532.66,1.24935,0.63097,0.96351,0.81171,0.71273,0.7897,0.48749,1.37086,0.66143,1.0386,0.0010989,0.0010989,0.0010989
72,2568.43,1.2527,0.63861,0.96485,0.84263,0.76228,0.82214,0.50285,1.36602,0.66162,1.03781,0.00109419,0.00109419,0.00109419
73,2604.24,1.23675,0.62107,0.96472,0.88369,0.71508,0.82616,0.51238,1.37675,0.66573,1.04424,0.00108947,0.00108947,0.00108947
74,2640.04,1.26257,0.63493,0.96791,0.85361,0.736,0.81523,0.50099,1.38439,0.66332,1.047,0.00108475,0.00108475,0.00108475
75,2675.97,1.2519,0.62384,0.96588,0.88983,0.74627,0.82902,0.51296,1.37408,0.64435,1.04333,0.00108004,0.00108004,0.00108004
76,2711.7,1.25224,0.62073,0.96992,0.84482,0.77593,0.82816,0.50295,1.36711,0.64655,1.03534,0.00107532,0.00107532,0.00107532
77,2747.59,1.25152,0.62138,0.96742,0.87478,0.71171,0.81981,0.49407,1.39026,0.67228,1.05249,0.00107061,0.00107061,0.00107061
78,2783.52,1.25153,0.62318,0.97048,0.8619,0.73327,0.82428,0.50913,1.37271,0.66039,1.03246,0.00106589,0.00106589,0.00106589
79,2819.24,1.26212,0.62485,0.96861,0.88427,0.73048,0.83141,0.50942,1.36722,0.66685,1.03783,0.00106118,0.00106118,0.00106118
80,2854.99,1.25866,0.63339,0.969,0.91723,0.73479,0.83408,0.51643,1.36169,0.64849,1.03836,0.00105646,0.00105646,0.00105646
81,2890.68,1.23452,0.62413,0.96158,0.8998,0.73952,0.8483,0.52247,1.37475,0.65109,1.04175,0.00105174,0.00105174,0.00105174
82,2926.57,1.22922,0.60964,0.95731,0.85064,0.79495,0.84512,0.52216,1.38117,0.65868,1.04305,0.00104703,0.00104703,0.00104703
83,2962.31,1.2214,0.60598,0.96214,0.90149,0.75302,0.82977,0.50352,1.36762,0.64564,1.0471,0.00104231,0.00104231,0.00104231
84,2998.15,1.24508,0.61926,0.96303,0.88646,0.75444,0.84297,0.51234,1.37972,0.66113,1.04547,0.0010376,0.0010376,0.0010376
85,3034.03,1.22636,0.6131,0.96248,0.83759,0.79308,0.83015,0.51905,1.38276,0.66654,1.04703,0.00103288,0.00103288,0.00103288
86,3069.86,1.24516,0.61568,0.96839,0.86722,0.74393,0.82718,0.49896,1.38137,0.65843,1.04832,0.00102817,0.00102817,0.00102817
87,3105.67,1.22877,0.61442,0.96071,0.87647,0.74644,0.83586,0.51292,1.37187,0.64693,1.04031,0.00102345,0.00102345,0.00102345
88,3141.42,1.20869,0.5935,0.95502,0.89882,0.73977,0.86423,0.54194,1.37493,0.64651,1.04432,0.00101873,0.00101873,0.00101873
