datetime_start,datetime_end,ocr_raw,count_of_car,count_of_motorcycle,count_of_heavy,cluster
2025-11-02 22:00:00,2025-11-02 22:01:00,10:01,16,42,0,1
2025-11-02 22:01:00,2025-11-02 22:00:00,10:00,0,1,0,1
2025-11-02 22:01:00,2025-11-02 22:02:00,10:02,11,43,0,1
2025-11-02 22:02:00,2025-11-02 22:03:00,10:03,16,100,0,0
2025-11-02 22:03:00,2025-11-02 22:04:00,10:04,16,34,0,1
2025-11-02 22:04:00,2025-11-02 22:05:00,10:05,16,43,0,1
2025-11-02 22:05:00,2025-11-02 22:06:00,10:06,16,69,0,0
2025-11-02 22:06:00,2025-11-02 22:09:00,10:09,9,35,0,1
2025-11-02 22:09:00,2025-11-02 22:10:00,10:10,9,46,0,1
2025-11-02 23:00:00,2025-11-02 23:01:00,11:01,6,48,0,1
2025-11-02 23:01:00,2025-11-02 23:02:00,11:02,20,36,0,0
2025-11-02 23:02:00,2025-11-02 23:03:00,11:03,6,18,0,1
2025-11-02 23:03:00,2025-11-02 23:04:00,11:04,11,66,0,0
2025-11-02 23:04:00,2025-11-02 23:05:00,11:05,13,53,0,1
2025-11-02 23:05:00,2025-11-02 23:06:00,11:06,7,42,0,1
2025-11-02 23:06:00,2025-11-02 23:07:00,11:07,10,46,0,1
2025-11-02 23:07:00,2025-11-02 23:08:00,11:08,10,42,0,1
2025-11-02 23:08:00,2025-11-02 23:09:00,11:09,9,58,0,1
2025-11-02 23:09:00,2025-11-02 23:10:00,11:10,18,52,1,0
2025-11-03 00:00:00,2025-11-03 00:01:00,12:01,5,13,0,1
2025-11-03 00:01:00,2025-11-03 00:02:00,12:02,6,36,0,1
2025-11-03 00:02:00,2025-11-03 00:03:00,12:03,5,32,0,1
2025-11-03 00:03:00,2025-11-03 00:04:00,12:04,7,36,0,1
2025-11-03 00:04:00,2025-11-03 00:05:00,12:05,6,36,0,1
2025-11-03 00:05:00,2025-11-03 00:06:00,12:06,11,25,0,1
2025-11-03 00:06:00,2025-11-03 00:07:00,12:07,2,41,0,1
2025-11-03 00:07:00,2025-11-03 00:08:00,12:08,7,36,0,1
2025-11-03 00:08:00,2025-11-03 00:09:00,12:09,6,33,0,1
2025-11-03 00:09:00,2025-11-03 00:10:00,12:10,7,20,0,1
2025-11-03 01:00:00,2025-11-03 01:01:00,01:01,3,18,0,1
2025-11-03 01:01:00,2025-11-03 01:02:00,01:02,3,8,0,1
2025-11-03 01:02:00,2025-11-03 01:03:00,01:03,6,15,0,1
2025-11-03 01:03:00,2025-11-03 01:04:00,01:04,5,13,1,1
2025-11-03 01:04:00,2025-11-03 01:05:00,01:05,0,10,0,1
2025-11-03 01:05:00,2025-11-03 01:06:00,01:06,5,15,0,1
2025-11-03 01:06:00,2025-11-03 01:07:00,01:07,4,14,0,1
